CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
IAEVN,Lost Guide Lake,Undetermined,,Lake,Water Feature,LAKE,0c846ee8849c20c3bc6c44f2c854a295,51.9050000,-115.9327778,9-34-14-W5,Alberta,50000,1978-09-08,Alberta Culture and Tourism
IAEVO,Lost Hope Creek,Undetermined,,Creek,Water Feature,RIV,0c846fad849c20c3b44944538c09064b,55.0383333,-116.3219444,70-16-W5,Alberta,250000,1954-01-14,Alberta Culture and Tourism
IAEVP,Lost Horse Creek,Undetermined,,Creek,Water Feature,RIV,0c846f6b849c20c399a05d9b206f1729,49.1155556,-113.9972222,2-30-W4,Alberta,50000,1971-06-08,Alberta Culture and Tourism
IAEVQ,Lost Horse Creek,Undetermined,,Creek,Water Feature,RIV,0c846fef849c20c3d1163be6f6b73bfc,51.1919444,-115.8736111,26-14-W5,Alberta,250000,1959-05-07,Alberta Culture and Tourism
IAEVS,Lost Knife Creek,Undetermined,,Creek,Water Feature,RIV,0c847030849c20c3197ca8d3779a04bb,51.3638889,-114.9825000,6-28-7-W5,Alberta,50000,1959-09-10,Alberta Culture and Tourism
IAEVY,Lost Lake,Undetermined,,Lake,Water Feature,LAKE,0c847137849c20c3892948875ca06a6f,51.4408333,-114.6950000,31-28-5-W5,Alberta,50000,1930-06-11,Alberta Culture and Tourism
IAEVV,Lost Lake,Undetermined,,Lake,Water Feature,LAKE,0c847072849c20c34f7669990924f34b,49.1469445,-114.1458333,2-2-W5,Alberta,50000,1958-08-07,Alberta Culture and Tourism
IAEVX,Lost Lake,Undetermined,,Lake,Water Feature,LAKE,0c8470b4849c20c34f49cb6aad986d0c,50.1477778,-112.3013889,14-17-W4,Alberta,250000,1957-05-02,Alberta Culture and Tourism
IAEVZ,Lost Lake,Undetermined,,Lake,Water Feature,LAKE,0c8470f4849c20c3d7aa75f53d7c3578,51.4741666,-116.2752778,29-17-W5,Alberta,50000,1958-05-01,Alberta Culture and Tourism
IAEWC,Lost Mountain,Undetermined,,Mountain,Terrain Feature,MTN,0c8471ba849c20c3afc63e1798d77352,49.1266667,-114.0872222,2-1-W5,Alberta,50000,1957-05-02,Alberta Culture and Tourism
IAEWE,Lost River,Undetermined,,River,Water Feature,RIV,0c84723f849c20c344525ca034cee1dc,49.0000000,-110.4405830,2-1-4-W4,Alberta,250000,1947-03-13,Alberta Culture and Tourism
IAEWD,Lostpoint Lake,Undetermined,,Lake,Water Feature,LAKE,0c847178849c20c3500ddf44f021fedd,53.8800000,-113.2808333,"56,57-23-W4",Alberta,250000,1950-05-02,Alberta Culture and Tourism
IAEWF,Lothrop,Undetermined,,Locality,Populated Place,UNP,0c8471fd849c20c360fe98aeaff885ec,55.9563889,-118.1308333,29-80-1-W6,Alberta,250000,1948-03-02,Alberta Culture and Tourism
IAFHW,Lott Creek,Undetermined,,Creek,Water Feature,RIV,0c84a1be849c20c3511446a762621e39,51.0055555,-114.2188889,23-2-W5,Alberta,250000,1940-02-03,Alberta Culture and Tourism
IAFHX,Lottie Lake,Undetermined,,Lake,Water Feature,LAKE,0c84a156849c20c34568c41b1e06fedd,54.0591667,-111.5847222,"58,59-11-W4",Alberta,1000000,1950-04-06,Alberta Culture and Tourism
IAFHY,Loudon Creek,Undetermined,,Creek,Water Feature,RIV,0c84a1ff849c20c320d3bbea34bec47b,52.0166667,-116.4336111,35-18-W5,Alberta,250000,1934-04-05,Alberta Culture and Tourism
