pruid,prename,prfname,week_end,product_name,numtotal_atleast1dose,numtotal_1dose,numtotal_2doses,prop_atleast1dose,prop_1dose,prop_2doses,,numweekdelta_atleast1dose,numweekdelta_2doses,propweekdelta_1dose,propweekdelta_2doses
10,Newfoundland and Labrador,Newfoundland and Labrador,06-03-2021,Moderna,4088,1478,2610,0.782987265,0.283085905,0.49990136,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,06-03-2021,Unknown,0,0,0,0,0,0,,,,,
11,Prince Edward Island,Prince Edward Island,06-03-2021,Pfizer-BioNTech,6839,2753,4086,4.284416601,1.724667189,2.559749413,,,,,
11,Prince Edward Island,Prince Edward Island,06-03-2021,Moderna,1832,406,1426,1.147689898,0.254346124,0.893343774,,,,,
11,Prince Edward Island,Prince Edward Island,06-03-2021,Not reported,0,0,0,0,0,0,,,,,
12,Nova Scotia,Nova Scotia,06-03-2021,Pfizer-BioNTech,20752,8807,11945,2.118954287,0.899269006,1.219685281,,,,,
12,Nova Scotia,Nova Scotia,06-03-2021,Moderna,4222,1735,2487,0.431101822,0.177158138,0.253943683,,,,,
12,Nova Scotia,Nova Scotia,06-03-2021,Unknown,37,36,1,0.003778012,0.003675904,0.000102108,,,,,
13,New Brunswick,New Brunswick,06-03-2021,Pfizer-BioNTech,21216,11385,9831,2.714862645,1.45685856,1.258004085,,,,,
13,New Brunswick,New Brunswick,06-03-2021,Moderna,5078,2760,2318,0.649796027,0.353177833,0.296618194,,,,,
13,New Brunswick,New Brunswick,06-03-2021,Unknown,37,33,<5,0.00473463,0.004222778,<0.1,,,,,
24,Quebec,Quebec,06-03-2021,Pfizer-BioNTech,431369,431369,,5.03079396,5.03079396,,,,,,
24,Quebec,Quebec,06-03-2021,Moderna,116569,116569,,1.359473261,1.359473261,,,,,,
24,Quebec,Quebec,06-03-2021,Unknown,103,103,,0.001201226,0.001201226,,,,,,
35,Ontario,Ontario,06-03-2021,Pfizer-BioNTech,527136,316163,210973,3.577680868,2.145803581,1.431877287,,,,,
35,Ontario,Ontario,06-03-2021,Moderna,92179,31320,60859,0.625620418,0.212569365,0.413051053,,,,,
35,Ontario,Ontario,06-03-2021,Unknown,0,0,0,0,0,0,,,,,
46,Manitoba,Manitoba,06-03-2021,Pfizer-BioNTech,46505,22504,24001,3.371728235,1.631596005,1.74013223,,,,,
46,Manitoba,Manitoba,06-03-2021,Moderna,12895,6534,6361,0.934919591,0.473731261,0.46118833,,,,,
46,Manitoba,Manitoba,06-03-2021,Unknown,0,0,0,0,0,0,,,,,
47,Saskatchewan,Saskatchewan,06-03-2021,Pfizer-BioNTech,44249,25181,19068,3.754111587,2.136371079,1.617740508,,,,,
47,Saskatchewan,Saskatchewan,06-03-2021,Moderna,12264,3950,8314,1.040485085,0.335120359,0.705364725,,,,,
47,Saskatchewan,Saskatchewan,06-03-2021,Unknown,0,0,0,0,0,0,,,,,
48,Alberta,Alberta,06-03-2021,Pfizer-BioNTech,175085,105849,69236,3.959518539,2.393757763,1.565760777,,,,,
48,Alberta,Alberta,06-03-2021,Moderna,27155,5772,21383,0.614105868,0.130532833,0.483573036,,,,,
48,Alberta,Alberta,06-03-2021,Unknown,0,0,0,0,0,0,,,,,
59,British Columbia,British Columbia,06-03-2021,Pfizer-BioNTech,264601,194562,70039,5.140167127,3.779582075,1.360585052,,,,,
59,British Columbia,British Columbia,06-03-2021,Moderna,68648,51745,16903,1.333563338,1.005203865,0.328359473,,,,,
59,British Columbia,British Columbia,06-03-2021,Unknown,6,5,1,0.000116557,9.71E-05,1.94E-05,,,,,
61,Northwest Territories,Northwest Territories,06-03-2021,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
61,Northwest Territories,Northwest Territories,06-03-2021,Moderna,17056,5907,11149,37.76709993,13.0798698,24.68723013,,,,,
61,Northwest Territories,Northwest Territories,06-03-2021,Unknown,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,06-03-2021,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,06-03-2021,Moderna,14565,5972,8593,34.63568915,14.20146485,20.43422429,,,,,
60,Yukon,Yukon,06-03-2021,Unknown,0,0,0,0,0,0,,,,,
62,Nunavut,Nunavut,06-03-2021,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
62,Nunavut,Nunavut,06-03-2021,Moderna,9199,3741,5458,23.37560034,9.506263817,13.86933652,,,,,
62,Nunavut,Nunavut,06-03-2021,Unknown,0,0,0,0,0,0,,,,,
1,Canada,Canada,13-03-2021,Pfizer-BioNTech,2076950,1644599,432351,5.464904601,4.327295622,1.137608979,,,,,
1,Canada,Canada,13-03-2021,Moderna,432627,267277,165350,1.138335195,0.703263587,0.435071608,,,,,
1,Canada,Canada,13-03-2021,COVISHIELD,75905,75905,0,0.19972247,0.19972247,0,,,,,
1,Canada,Canada,13-03-2021,Unknown,190,185,5,5.00E-04,0.000486775,1.32E-05,,,,,
1,Canada,Canada,13-03-2021,Not reported,0,0,0,0,0,0,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,13-03-2021,Pfizer-BioNTech,22590,15976,6614,4.326732465,3.059932619,1.266799846,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,13-03-2021,Moderna,4433,1805,2628,0.84906618,0.345717224,0.503348956,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,13-03-2021,COVISHIELD,0,0,0,0,0,0,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,13-03-2021,Unknown,0,0,0,0,0,0,,,,,
11,Prince Edward Island,Prince Edward Island,13-03-2021,Pfizer-BioNTech,8310,4152,4158,5.205951449,2.601096319,2.604855129,,,,,
11,Prince Edward Island,Prince Edward Island,13-03-2021,Moderna,2083,640,1443,1.304933438,0.400939702,0.903993735,,,,,
11,Prince Edward Island,Prince Edward Island,13-03-2021,COVISHIELD,0,0,0,0,0,0,,,,,
11,Prince Edward Island,Prince Edward Island,13-03-2021,Not reported,0,0,0,0,0,0,,,,,
12,Nova Scotia,Nova Scotia,13-03-2021,Pfizer-BioNTech,26439,13709,12730,2.699644969,1.399804564,1.299840405,,,,,
12,Nova Scotia,Nova Scotia,13-03-2021,Moderna,5487,2105,3382,0.560268994,0.21493826,0.345330734,,,,,
12,Nova Scotia,Nova Scotia,13-03-2021,COVISHIELD,0,0,0,0,0,0,,,,,
12,Nova Scotia,Nova Scotia,13-03-2021,Unknown,38,37,1,0.003880121,0.003778012,0.000102108,,,,,
13,New Brunswick,New Brunswick,13-03-2021,Pfizer-BioNTech,34030,24187,9843,4.354580307,3.095040667,1.25953964,,,,,
13,New Brunswick,New Brunswick,13-03-2021,Moderna,5120,2801,2319,0.655170472,0.358424315,0.296746157,,,,,
13,New Brunswick,New Brunswick,13-03-2021,COVISHIELD,0,0,0,0,0,0,,,,,
13,New Brunswick,New Brunswick,13-03-2021,Unknown,38,>33,<5,0.004862593,>0.0042,<0.1,,,,,
24,Quebec,Quebec,13-03-2021,Pfizer-BioNTech,564991,564991,,6.589145976,6.589145976,,,,,,
24,Quebec,Quebec,13-03-2021,Moderna,126957,126957,,1.480622179,1.480622179,,,,,,
24,Quebec,Quebec,13-03-2021,COVISHIELD,21984,21984,,0.256386005,0.256386005,,,,,,
24,Quebec,Quebec,13-03-2021,Unknown,107,107,,0.001247876,0.001247876,,,,,,
35,Ontario,Ontario,13-03-2021,Pfizer-BioNTech,740956,526325,214631,5.028880792,3.572176598,1.456704195,,,,,
35,Ontario,Ontario,13-03-2021,Moderna,105681,34645,71036,0.717258718,0.235136196,0.482122523,,,,,
35,Ontario,Ontario,13-03-2021,COVISHIELD,28300,28300,0,0.192072574,0.192072574,0,,,,,
35,Ontario,Ontario,13-03-2021,Unknown,0,0,0,0,0,0,,,,,
46,Manitoba,Manitoba,13-03-2021,Pfizer-BioNTech,58504,33624,24880,4.241685596,2.437823678,1.803861918,,,,,
46,Manitoba,Manitoba,13-03-2021,Moderna,13584,5333,8251,0.984873806,0.386655772,0.598218034,,,,,
46,Manitoba,Manitoba,13-03-2021,COVISHIELD,194,194,0,0.014065483,0.014065483,0,,,,,
46,Manitoba,Manitoba,13-03-2021,Unknown,0,0,0,0,0,0,,,,,
47,Saskatchewan,Saskatchewan,13-03-2021,Pfizer-BioNTech,57366,37496,19870,4.866965701,3.181183034,1.685782667,,,,,
47,Saskatchewan,Saskatchewan,13-03-2021,Moderna,12289,3793,8496,1.0426061,0.321800385,0.720805714,,,,,
47,Saskatchewan,Saskatchewan,13-03-2021,COVISHIELD,0,0,0,0,0,0,,,,,
47,Saskatchewan,Saskatchewan,13-03-2021,Unknown,0,0,0,0,0,0,,,,,
48,Alberta,Alberta,13-03-2021,Pfizer-BioNTech,231712,162188,69524,5.24012885,3.667855001,1.572273849,,,,,
48,Alberta,Alberta,13-03-2021,Moderna,30882,8866,22016,0.698391361,0.200503135,0.497888227,,,,,
48,Alberta,Alberta,13-03-2021,COVISHIELD,25427,25427,0,0.575027432,0.575027432,0,,,,,
48,Alberta,Alberta,13-03-2021,Unknown,0,0,0,0,0,0,,,,,
59,British Columbia,British Columbia,13-03-2021,Pfizer-BioNTech,332052,261951,70101,6.450477416,5.088687945,1.361789471,,,,,
59,British Columbia,British Columbia,13-03-2021,Moderna,76974,59982,16992,1.495305099,1.165216702,0.330088397,,,,,
59,British Columbia,British Columbia,13-03-2021,COVISHIELD,0,0,0,0,0,0,,,,,
59,British Columbia,British Columbia,13-03-2021,Unknown,7,6,1,1.36E-04,0.000116557,1.94E-05,,,,,
61,Northwest Territories,Northwest Territories,13-03-2021,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
61,Northwest Territories,Northwest Territories,13-03-2021,Moderna,19680,7293,12387,43.577423,16.14888953,27.42853347,,,,,
61,Northwest Territories,Northwest Territories,13-03-2021,COVISHIELD,0,0,0,0,0,0,,,,,
61,Northwest Territories,Northwest Territories,13-03-2021,Unknown,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,13-03-2021,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,13-03-2021,Moderna,19181,8819,10362,45.61257491,20.97165414,24.64092076,,,,,
60,Yukon,Yukon,13-03-2021,COVISHIELD,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,13-03-2021,Unknown,0,0,0,0,0,0,,,,,
62,Nunavut,Nunavut,13-03-2021,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
62,Nunavut,Nunavut,13-03-2021,Moderna,10276,4238,6038,26.11236755,10.76919168,15.34317587,,,,,
62,Nunavut,Nunavut,13-03-2021,COVISHIELD,0,0,0,0,0,0,,,,,
62,Nunavut,Nunavut,13-03-2021,Unknown,0,0,0,0,0,0,,,,,
